F = 1  K = 10  m = 267  n = 22
 x1 ∧ x14 ∧ x22   q = 0.20001896035206526  Z-Score = -3.978867163241503  rejected
 x14 ∧ x22   q = 0.1946754901811039  Z-Score = -3.6058483666876113  rejected
 x1 ∧ ¬x11 ∧ x14 ∧ x22   q = 0.18334708743559044  Z-Score = -8.2064135241856  rejected
 ¬x11 ∧ x14 ∧ x22   q = 0.1809053603507151  Z-Score = -7.957734326483005  rejected
 x1 ∧ x4 ∧ ¬x11 ∧ x14 ∧  q = 0.1809053603507151  Z-Score = -7.957734326483005  rejected
 x1 ∧ x22   q = 0.1792735646817698  Z-Score = -2.238112779323345  not rejected
 x14 ∧ x17 ∧ x22   q = 0.17864966297572624  Z-Score = -9.076790716144679  rejected
 x1 ∧ x14 ∧ x17 ∧ x22   q = 0.17864966297572624  Z-Score = -9.076790716144679  rejected
 x1 ∧ x9 ∧ x14 ∧ x22   q = 0.1762658254532392  Z-Score = -5.5952819483083625  rejected
 x1 ∧ x4 ∧ x14 ∧ x22   q = 0.17454157372021967  Z-Score = -5.968300744862254  rejected
